,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12
w1,0,63.247,63.253,500,1000,1500,1600,1700,1801.1,,,
w2,0,3051.2,,,,,,,,,,
w3,0,42.874,42.879,500,1000,1500,1600,1700,1800,1950.6,,
w4,0,3051.2,,,,,,,,,,
w5,0,500,821.12,,,,,,,,,
w6,0,311.59,311.62,500,750,1000,1500,2000,2250,2500,,
w7,0,3051.2,,,,,,,,,,
w8,0,310.31,310.34,500,750,1000,1250,1500,2000,2500,3000,
w9,0,397.46,397.5,500,1000,1500,2000,2500,3000,,,
w10,0,397.56,397.6,500,1000,1500,2000,2500,3000,,,
w11,0,3051.2,,,,,,,,,,
w12,0,335.68,335.72,500,1000,1500,2000,2500,3000,,,
w13,0,260.66,260.69,500,1000,1500,2000,2500,3000,,,
w14,0,404.26,404.3,500,1000,1500,2000,2500,3000,,,
w15,0,282.33,282.36,500,1000,1500,2000,2500,3000,,,
w16,0,3051.2,,,,,,,,,,
w17,0,427.36,427.4,500,750,1000,1500,1750,2000,2500,3000,
w18,0,243.48,243.5,500,1000,1500,2000,2500,3000,,,
w19,0,283.49,283.52,500,1000,1500,2000,2500,3000,,,
w20,0,283.59,283.62,500,1000,1500,2000,2500,3000,,,
w21,0,244.63,244.66,500,1000,1500,2000,2500,3000,,,
w22,0,3051.2,,,,,,,,,,
w23,0,207.15,207.17,500,1000,1500,2000,2500,3000,,,
w24,0,192.47,192.49,500,1000,1500,2000,2500,3000,,,
w25,0,300.03,300.06,500,1000,1500,2000,,,,,
w26,0,345.5,345.53,400,450,500,1000,1500,,,,
w27,0,313.25,313.28,500,1000,1500,1550,1600,1900,,,
w28,0,163.15,163.17,500,1000,1500,2000,2500,3000,,,
w29,0,286.77,286.8,500,700,800,900,1000,1500,2000,2500,3000
w30,0,310.91,310.94,500,1000,1500,2000,2500,3000,,,
w31,0,315.23,315.26,500,1000,1500,2000,2500,3000,,,
w32,0,292.13,292.16,500,600,700,800,1000,1500,2000,2500,3000
w33,0,471.16,471.21,500,1000,1500,2000,2500,3000,,,
w34,0,331.39,331.42,500,1000,1500,2000,2500,3000,,,
w35,0,359.73,359.77,500,1000,1500,2000,2500,3000,,,
w36,0,313.22,313.25,500,1000,1500,2000,2500,3000,,,
w37,0,448.16,448.2,500,1000,1500,2000,2500,3000,,,
w38,0,419.5,419.54,500,1000,1500,2000,2500,3000,,,
w39,0,449.21,449.25,500,1000,1500,2000,2500,3000,,,
w40,0,327.51,327.54,500,1000,1500,,,,,,
w41,0,463.01,463.05,500,1000,1500,2000,2500,3000,,,
w42,0,338.05,338.09,500,1000,1500,,,,,,
w43,0,292.61,292.64,500,1000,1500,2000,2500,3000,,,
w44,0,270.93,270.96,500,1000,1500,2000,2500,3000,,,
w45,0,406.56,406.6,500,1000,1100,1200,1300,1500,,,
w46,0,418.25,418.29,500,1000,1500,2000,2500,3000,,,
