,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11
w1,0,225,314,672,768,1485,,,,,
w2,0,68,144,266,450,693,861,1035,,,
w3,0,60,129,210,348,521,748,792,1027,,
w4,0,42,86,542,945,,,,,,
w5,0,35,71,464,1164,,,,,,
w6,0,74,157,294,505,890,926,1114,,,
w7,0,114,235,386,577,1279,1507,,,,
w8,0,58,97,268,651,1725,,,,,
w9,0,551,716,1295,1706,,,,,,
w10,0,66,135,215,308,413,553,756,975,1053,
w11,0,91,201,397,675,1054,1378,1740,,,
w12,0,617,800,1345,1513,2880,6765,,,,
w13,0,16,33,181,1218,,,,,,
w14,0,128,186,413,1105,1111,,,,,
w15,0,65,153,252,381,598,884,1112,1392,,
w16,0,40,69,253,460,926,982,1907,,,
w17,0,128,262,370,494,647,823,1081,2174,,
w18,0,138,282,468,705,1027,2297,,,,
w19,0,86,175,295,469,686,943,1362,,,
w20,0,136,215,465,541,975,1948,4225,12161,,
w21,0,189,289,772,894,1479,,,,,
w22,0,270,370,727,816,1929,,,,,
w23,0,110,221,1669,,,,,,,
w24,0,49,105,182,283,399,556,725,767,1030,3621
w25,0,51,103,160,225,551,839,,,,
w26,0,54,120,200,319,579,734,1023,1972,3317,
w27,0,54,109,590,1100,,,,,,
w28,0,105,211,1618,,,,,,,
w29,0,69,141,224,322,439,579,754,790,,
w30,0,56,112,545,561,,,,,,
w31,0,37,75,,,,,,,,
w32,0,64,131,217,1093,,,,,,
w33,0,184,280,682,897,1646,4485,,,,
w34,0,31,63,366,1299,,,,,,
w35,0,40,86,144,195,283,389,515,717,801,1273
w36,0,28,59,108,166,235,330,404,1145,,
w37,0,34,71,126,199,292,409,564,772,1346,
w38,0,112,157,345,690,1891,,,,,
w39,0,105,168,301,800,860,,,,,
w40,0,98,116,186,330,757,1149,,,,
w41,0,63,126,636,801,,,,,,
w42,0,28,57,361,1701,,,,,,
w43,0,538,797,976,1300,2920,3650,,,,
w44,0,61,123,666,1303,,,,,,
w45,0,11,21,137,712,,,,,,
w46,0,7,14,22,31,40,50,61,91,700,
w47,0,1558,2653,2849,2982,3042,,,,,
w48,0,1450,1633,2466,5096,,,,,,
w49,0,1228,1268,1418,1690,,,,,,
w50,0,1135,1441,2538,3980,,,,,,
w51,0,162,369,2009,2224,3488,4899,,,,
w52,0,1512,2536,2671,2750,2830,,,,,
w53,0,1174,1304,1484,,,,,,,
w54,0,1559,2340,2594,2650,3342,,,,,
w55,0,465,1333,2169,2317,2445,2596,3100,,,
w56,0,761,1247,1590,1655,1730,1770,2300,5360,,
